Language,Site,Percentage,Total Power
English,Ashburn,9.05079648733516,44.529918717689
French,Ashburn,27.0052918001368,132.866035656673
Spanish,Ashburn,63.9439117125274,314.604045625635
English,Carrollton,2.73869158187946,13.4743625828469
Spanish,Carrollton,97.2613084181194,478.525637417147
English,Haarlem,2.65197057503008,13.047695229148
German,Haarlem,1.20911707189856,5.94885599374091
French,Haarlem,45.4937679484127,223.82933830619
Chinese,Haarlem,0.142596231051294,0.701573456772364
Russian,Haarlem,47.8077209157624,235.213986905551
Spanish,Haarlem,2.6948272578441,13.258550108593
English,San Francisco,100,492
English,Singapore,2.84116588257927,13.97853614229
Japanese,Singapore,46.1571226420461,227.093043398867
French,Singapore,5.97915366160728,29.4174360151078
Chinese,Singapore,0.691395156985658,3.40166417236944
Russian,Singapore,44.3311626567812,218.109320271363
